track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,greedy,95,131872,True,0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,1,pop
7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",FERXXOCALIPSIS,LUNA,93,196800,False,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
48lxT5qJF0yYyf2z4wB4xW,"Jaxomy, Agatino Romero, Raffaella Carrà",Pedro,Pedro,91,144846,False,0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,4,Unknown
0W0iAC1VGlB82PI6elxFYf,Taylor Swift,THE TORTURED POETS DEPARTMENT,Guilty as Sin?,84,254365,False,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,3,pop
1aKvZDoLGkNMxoRYgkckZG,ILLIT,SUPER REAL ME,Magnetic,93,160688,False,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,4,5th gen k-pop
3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,THE TORTURED POETS DEPARTMENT,"So Long, London",85,262974,False,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,4,pop
51eSHglvG1RJXtL3qI5trr,Benson Boone,Fireworks & Rollerblades,Slow It Down,89,161831,False,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,4,singer-songwriter pop
5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,92,183956,False,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,"garage rock, modern rock, permanent wave, rock, sheffield indie"
0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Stick Season,93,182346,False,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,4,pov: indie
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,90,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,"modern alternative rock, modern rock, pop"
